;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
431590 RODEIO BONITO;-;12;8.513;681;220;-;1.399;10.825;
431600 ROLANTE;51;7.889;2.859;1.648;196;13;641;13.297;
431610 RONDA ALTA;19;1.243;7.624;1.667;175;6;867;11.601;
431620 RONDINHA;-;4.389;2.007;472;167;4;72;7.111;
431630 ROQUE GONZALES;-;77;7.120;626;11;-;961;8.795;
431640 ROSARIO DO SUL;3.476;24.054;10.298;342;20;14;1.969;40.173;
431643 SALDANHA MARINHO;-;14;3.055;14;69;-;111;3.263;
431645 SALTO DO JACUI;-;1.005;8.216;313;28;-;1.198;10.760;
431650 SALVADOR DO SUL;8;5.837;1.461;719;7;7;236;8.275;
431660 SANANDUVA;-;6.140;6.081;799;471;20;869;14.380;
431670 SANTA BARBARA DO SUL;-;76;9.154;415;130;22;14;9.811;
431680 SANTA CRUZ DO SUL;4.956;65.650;26.535;4.578;977;68;14.101;116.865;
431690 SANTA MARIA;83.780;74.060;37.671;10.088;2.665;252;6.812;215.328;
431695 SANTA MARIA DO HERVAL;-;1.622;2.445;642;248;-;226;5.183;
431700 SANTANA DA BOA VISTA;-;221;4.796;215;3;-;3.164;8.399;
431710 SANT'ANA DO LIVRAMENTO;21.383;25.808;26.718;1.974;497;119;3.150;79.649;
431720 SANTA ROSA;6.965;7.130;39.899;1.636;810;128;1.325;57.893;
431730 SANTA VITORIA DO PALMAR;6.419;10.996;12.443;1.555;43;85;2.307;33.848;
431740 SANTIAGO;12;11.753;32.939;219;2.824;1.813;1.948;51.508;
431750 SANTO ANGELO;10.449;16.024;42.903;1.754;931;185;3.645;75.891;
431760 SANTO ANTONIO DA PATRULHA;-;17.801;15.679;1.746;52;62;5.174;40.514;
431770 SANTO ANTONIO DAS MISSOES;-;2.686;7.723;1.202;147;13;1.434;13.205;
431780 SANTO AUGUSTO;-;10.071;6.908;4;-;44;730;17.757;
431790 SANTO CRISTO;-;212;13.820;-;440;14;576;15.062;
431800 SAO BORJA;8.267;32.212;20.875;432;9;23;1.680;63.498;
431805 SAO DOMINGOS DO SUL;-;3;1.969;314;91;-;173;2.550;
431810 SAO FRANCISCO DE ASSIS;-;12.859;12.071;81;24;-;1.533;26.568;
431820 SAO FRANCISCO DE PAULA;28;8.273;4.174;1.269;106;262;5.007;19.119;
431830 SAO GABRIEL;6.725;13.309;31.756;1.299;704;121;4.780;58.694;
431840 SAO JERONIMO;21;13.777;6.256;1.071;278;8;6.077;27.488;
431842 SAO JOAO DA URTIGA;-;545;2.468;599;610;-;975;5.197;
431844 SAO JORGE;-;1.303;733;-;591;9;235;2.871;
431846 SAO JOSE DO HERVAL;-;41;1.393;20;81;-;908;2.443;
431848 SAO JOSE DO HORTENCIO;-;2.397;382;6;-;-;13;2.798;
431850 SAO JOSE DO NORTE;253;7.456;11.402;490;237;10;2.106;21.954;
431860 SAO JOSE DO OURO;34;744;7.677;1.197;808;22;948;11.430;
431870 SAO LEOPOLDO;10.682;128.456;17.430;5.680;440;132;3.822;166.642;
431880 SAO LOURENCO DO SUL;196;18.224;9.826;1.654;587;101;10.668;41.256;
431890 SAO LUIZ GONZAGA;-;4.807;28.186;796;4.921;129;2.627;41.466;
431900 SAO MARCOS;44;11.108;1.847;1.127;927;-;764;15.817;
431910 SAO MARTINHO;-;5;7.088;-;-;-;249;7.342;
431915 SAO MIGUEL DAS MISSOES;-;135;5.753;156;18;-;1.344;7.406;
431920 SAO NICOLAU;-;2.691;3.651;-;1;-;518;6.861;
431930 SAO PAULO DAS MISSOES;-;645;6.488;26;43;-;1.262;8.464;
431940 SAO PEDRO DO SUL;21;8.595;9.456;629;220;101;1.262;20.284;
431950 SAO SEBASTIAO DO CAI;-;9.753;5.360;633;35;89;749;16.619;
431960 SAO SEPE;88;15.581;9.710;619;84;-;1.836;27.918;
431970 SAO VALENTIM;2;-;4.579;970;602;11;1.512;7.676;
431975 SAO VENDELINO;-;472;922;-;-;-;55;1.449;
431980 SAO VICENTE DO SUL;-;3.584;3.550;21;20;105;237;7.517;
431990 SAPIRANGA;81;50.261;5.515;1.572;131;12;945;58.517;
432000 SAPUCAIA DO SUL;6.923;74.156;11.248;4.498;1.650;1.000;5.083;104.558;
432010 SARANDI;-;5.922;11.934;1.625;264;124;838;20.707;
432020 SEBERI;-;741;10.392;1.214;404;-;744;13.495;
432023 SEDE NOVA;-;282;2.651;296;-;-;505;3.734;
432026 SEGREDO;-;232;3.865;660;9;-;2.170;6.936;
432030 SELBACH;7;46;4.412;20;11;-;73;4.569;
432040 SERAFINA CORREA;49;6.365;690;337;419;86;424;8.370;
432050 SERTAO;-;486;6.909;1.061;115;2;275;8.848;
432060 SEVERIANO DE ALMEIDA;3;769;2.660;13;613;-;371;4.429;
432065 SILVEIRA MARTINS;-;483;791;502;20;9;552;2.357;
432070 SOBRADINHO;25;4.737;10.640;529;290;220;3.613;20.054;
432080 SOLEDADE;89;3.120;16.000;880;6.031;215;4.041;30.376;
432090 TAPEJARA;-;2.806;10.505;1.730;2.057;135;1.538;18.771;
432100 TAPERA;9;4.114;6.296;68;122;18;282;10.909;
432110 TAPES;358;9.503;4.418;1.388;302;32;3.631;19.632;
432120 TAQUARA;287;30.867;6.710;2.180;178;196;1.559;41.977;
432130 TAQUARI;40;16.605;5.977;945;24;21;977;24.589;
432132 TAQUARUCU DO SUL;-;-;2.910;7;12;-;131;3.060;
432135 TAVARES;59;2.247;2.478;15;4;-;237;5.040;
432140 TENENTE PORTELA;-;11;19.814;46;168;3;3.487;23.529;
432143 TERRA DE AREIA;-;5.837;3.324;350;62;-;808;10.381;
432145 TEUTONIA;14;14.492;2.722;16;43;-;241;17.528;
432150 TORRES;8.647;9.199;14.100;1.410;362;190;3.237;37.145;
432160 TRAMANDAI;940;15.761;1.833;13;768;5;499;19.819;
432163 TRES ARROIOS;-;240;2.207;558;145;-;136;3.286;
432166 TRES CACHOEIRAS;-;6.089;1.019;374;25;-;456;7.963;
432170 TRES COROAS;18;11.025;2.547;466;199;31;743;15.029;
432180 TRES DE MAIO;-;72;25.519;83;34;-;679;26.387;
432185 TRES PALMEIRAS;-;757;2.933;737;2;-;593;5.022;
432190 TRES PASSOS;-;455;36.131;539;99;3;3.125;40.352;
432195 TRINDADE DO SUL;-;313;3.743;540;346;-;1.929;6.871;
432200 TRIUNFO;9;11.054;5.136;263;24;22;1.357;17.865;
432210 TUCUNDUVA;-;724;10.596;74;664;-;468;12.526;
432215 TUNAS;-;9;2.307;7;-;-;2.028;4.351;
432220 TUPANCIRETA;19;144;19.696;87;1.658;27;1.559;23.190;
432225 TUPANDI;-;1.295;781;161;-;-;6;2.243;
432230 TUPARENDI;-;285;10.351;903;117;14;751;12.421;
432240 URUGUAIANA;12.478;61.341;26.049;10.896;189;150;5.262;116.365;
432250 VACARIA;172;39.203;12.680;2.630;135;37;3.241;58.098;
432255 VANINI;-;447;1.082;217;4;-;72;1.822;
432260 VENANCIO AIRES;77;28.161;16.988;6.623;166;50;3.059;55.124;
432270 VERA CRUZ;66;10.456;4.584;1.200;21;4;1.514;17.845;
432280 VERANOPOLIS;7;12.567;3.770;9;209;-;241;16.803;
432290 VIADUTOS;-;684;6.234;938;112;-;889;8.857;
432300 VIAMAO;260;112.266;32.613;6.147;5.742;608;9.929;167.565;
432310 VICENTE DUTRA;-;-;5.386;-;8;-;1.100;6.494;
432320 VICTOR GRAEFF;5;166;3.414;179;77;-;12;3.853;
432330 VILA FLORES;-;225;2.202;-;121;15;74;2.637;
432340 VILA MARIA;-;296;2.118;1.464;48;-;90;4.016;
432350 VISTA ALEGRE;-;-;2.533;73;2;-;487;3.095;
432360 VISTA ALEGRE DO PRATA;-;86;1.463;179;-;-;44;1.772;
432370 VISTA GAUCHA;-;6;2.526;49;5;-;150;2.736;
500020 AGUA CLARA;-;8;5.099;6;128;-;362;5.603;
500060 AMAMBAI;-;77;22.037;-;-;-;3.739;25.853;
500070 ANASTACIO;900;381;15.593;202;7;3;1.990;19.076;
500080 ANAURILANDIA;-;4;6.710;-;-;-;554;7.268;
500085 ANGELICA;-;-;8.580;-;4;-;229;8.813;
500090 ANTONIO JOAO;-;1.994;4.415;-;8;-;204;6.621;
500100 APARECIDA DO TABOADO;1.431;29;12.880;2;85;-;650;15.077;
500110 AQUIDAUANA;2.223;1.628;31.285;260;27;30;3.212;38.665;
500124 ARAL MOREIRA;-;-;7.615;-;3;6;385;8.009;
500150 BANDEIRANTES;-;45;5.675;23;32;-;383;6.158;
500190 BATAGUASSU;-;1;10.619;24;22;-;688;11.354;
500200 BATAYPORA;-;14;7.352;4;-;-;574;7.944;
500210 BELA VISTA;-;1.742;15.594;420;29;3;1.190;18.978;
500215 BODOQUENA;-;10;6.065;32;7;-;740;6.854;
500220 BONITO;2.927;335;9.428;417;45;15;1.432;14.599;
500230 BRASILANDIA;-;5;8.408;25;162;-;1.587;10.187;
500240 CAARAPO;-;531;18.875;38;7;-;2.781;22.232;
500260 CAMAPUA;3.844;211;9.251;54;77;-;1.991;15.428;
500270 CAMPO GRANDE;93.433;10.563;407.629;1.275;941;330;8.630;522.801;
500280 CARACOL;-;-;3.625;52;2;43;185;3.907;
500290 CASSILANDIA;-;38;17.310;25;85;-;321;17.779;
500295 CHAPADAO DO SUL;-;5;4.818;-;-;-;458;5.281;
500310 CORGUINHO;-;-;2.546;-;-;6;1.126;3.678;
500315 CORONEL SAPUCAIA;-;35;9.002;84;15;-;2.453;11.589;
500320 CORUMBA;156;7.513;72.121;1.740;109;513;4.700;86.852;
500325 COSTA RICA;-;22;11.483;34;46;-;2.263;13.848;
500330 COXIM;697;307;26.615;22;55;-;5.481;33.177;
500345 DEODAPOLIS;-;15;12.375;9;-;8;1.251;13.658;
500348 DOIS IRMAOS DO BURITI;-;17;7.773;12;11;12;895;8.720;
500350 DOURADINA;-;14;4.177;11;7;1;523;4.733;
500370 DOURADOS;8.691;1.514;119.206;349;152;106;4.989;135.007;
500375 ELDORADO;-;8;10.635;-;15;-;299;10.957;
500380 FATIMA DO SUL;-;600;20.790;124;41;-;518;22.073;
500400 GLORIA DE DOURADOS;-;23;11.013;291;79;6;385;11.797;
500410 GUIA LOPES DA LAGUNA;-;2.709;5.829;-;-;-;548;9.086;
500430 IGUATEMI;-;16;10.372;11;-;4;603;11.006;
500440 INOCENCIA;-;14;5.890;-;-;-;345;6.249;
500450 ITAPORA;546;463;10.345;59;6;-;4.454;15.873;
500460 ITAQUIRAI;-;1;9.022;-;6;-;3.310;12.339;
500470 IVINHEMA;-;4;29.927;12;7;-;1.881;31.831;
500490 JARAGUARI;-;2;3.298;485;-;-;622;4.407;
500500 JARDIM;-;1.300;15.206;144;1.318;4;1.192;19.164;
500510 JATEI;-;4;4.752;-;-;-;177;4.933;
500515 JUTI;-;2;4.528;45;8;-;589;5.172;
500520 LADARIO;95;90;10.934;12;39;-;779;11.949;
500540 MARACAJU;-;63;21.191;16;209;-;1.251;22.730;
500560 MIRANDA;-;78;17.167;59;21;-;2.577;19.902;
500568 MUNDO NOVO;-;22;20.053;20;-;-;2.186;22.281;
500570 NAVIRAI;-;40;27.426;-;32;-;2.769;30.267;
500580 NIOAQUE;-;2.982;4.887;12;289;16;2.846;11.032;
500620 NOVA ANDRADINA;-;58;27.809;99;23;-;1.673;29.662;
500630 PARANAIBA;7.973;359;25.688;167;309;-;2.931;37.427;
500635 PARANHOS;-;30;7.066;-;-;3;2.293;9.392;
500640 PEDRO GOMES;-;215;6.659;3;-;-;1.395;8.272;
500660 PONTA PORA;1.527;182;50.838;157;83;40;2.043;54.870;
500690 PORTO MURTINHO;1.412;18;7.184;3.144;12;2;833;12.605;
500710 RIBAS DO RIO PARDO;-;114;9.241;59;144;7;1.148;10.713;
500720 RIO BRILHANTE;-;21;19.275;3;1;-;2.787;22.087;
500730 RIO NEGRO;-;8;5.015;121;-;-;390;5.534;
500740 RIO VERDE DE MATO GROSSO;-;22;13.736;84;25;-;1.065;14.932;
500750 ROCHEDO;-;21;2.707;-;1;-;745;3.474;
500755 SANTA RITA DO PARDO;-;4;4.495;6;-;-;461;4.966;
500769 SAO GABRIEL DO OESTE;-;50;10.673;147;44;-;896;11.810;
500770 SETE QUEDAS;-;-;10.452;149;18;3;3.922;14.544;
500780 SELVIRIA;-;-;4.991;-;11;-;614;5.616;
500790 SIDROLANDIA;-;33;14.160;526;136;-;1.186;16.041;
500793 SONORA;-;17;5.387;2;-;-;276;5.682;
500795 TACURU;-;31;5.453;-;6;-;1.415;6.905;
500797 TAQUARUSSU;-;9;4.386;5;7;-;69;4.476;
500800 TERENOS;-;18;9.407;77;84;4;374;9.964;
500830 TRES LAGOAS;8.941;430;55.478;195;123;17;2.225;67.409;
500840 VICENTINA;-;2;6.983;-;5;-;255;7.245;
510010 ACORIZAL;-;116;2.210;26;-;-;2.955;5.307;
510020 AGUA BOA;-;226;11.547;183;21;8;4.342;16.327;
510025 ALTA FLORESTA;-;316;46.792;912;143;30;18.102;66.295;
510030 ALTO ARAGUAIA;-;348;5.774;178;1.736;4;1.808;9.848;
510040 ALTO GARCAS;-;296;5.648;1.051;44;12;1.112;8.163;
510050 ALTO PARAGUAI;-;21;8.075;33;-;3;5.642;13.774;
510060 ALTO TAQUARI;-;75;2.420;5;2;-;396;2.898;
510080 APIACAS;-;471;4.270;24;15;-;992;5.772;
510100 ARAGUAIANA;-;8;1.785;1.045;124;-;388;3.350;
510120 ARAGUAINHA;-;595;147;415;-;-;257;1.414;
510125 ARAPUTANGA;-;10;8.043;59;-;-;4.337;12.449;
510130 ARENAPOLIS;-;2.281;12.690;346;1.237;4;2.280;18.838;
510140 ARIPUANA;-;19;6.486;3;49;3;6.177;12.737;
510160 BARAO DE MELGACO;-;1.591;1.461;170;55;2;6.465;9.744;
510170 BARRA DO BUGRES;-;7.359;11.209;387;51;14;3.090;22.110;
510180 BARRA DO GARCAS;8.034;2.136;28.206;236;432;183;6.032;45.259;
510190 BRASNORTE;-;-;4.743;847;6;-;916;6.512;
510250 CACERES;2.222;6.445;42.882;3.523;94;312;21.366;76.844;
510260 CAMPINAPOLIS;-;181;4.573;44;-;15;6.947;11.760;
510263 CAMPO NOVO DO PARECIS;-;199;4.988;225;4;-;546;5.962;
510267 CAMPO VERDE;-;3.585;1.278;68;2;-;369;5.302;
510270 CANARANA;-;313;9.905;26;7;-;1.565;11.816;
510285 CASTANHEIRA;-;8;5.572;21;4;-;2.711;8.316;
510300 CHAPADA DOS GUIMARAES;-;1.028;4.924;438;6;8;6.387;12.791;
510305 CLAUDIA;-;224;7.800;357;8;-;490;8.879;
510310 COCALINHO;-;18;3.012;231;-;-;2.089;5.350;
510320 COLIDER;-;37;24.488;151;4;-;5.888;30.568;
510330 COMODORO;-;42;6.418;40;29;-;2.303;8.832;
510340 CUIABA;64.419;204.627;98.127;5.964;3.043;3.146;19.150;398.476;
510345 DENISE;-;1.625;2.963;128;-;-;53;4.769;
510350 DIAMANTINO;-;57;13.937;78;18;8;1.604;15.702;
510360 DOM AQUINO;-;28;7.626;30;-;-;1.141;8.825;
510380 FIGUEIROPOLIS D'OESTE;-;11;3.220;13;30;3;2.077;5.354;
510390 GENERAL CARNEIRO;-;1.387;911;2;-;-;1.952;4.252;
510410 GUARANTA DO NORTE;-;49;17.424;8;27;-;3.944;21.452;
510420 GUIRATINGA;-;3.756;8.368;367;154;19;2.051;14.715;
510450 INDIAVAI;-;-;1.271;-;7;-;719;1.997;
510455 ITAUBA;-;353;5.303;18;-;-;705;6.379;
510460 ITIQUIRA;-;5;6.956;70;2;-;702;7.735;
510480 JACIARA;-;137;20.361;66;9;59;1.108;21.740;
510490 JANGADA;-;5;1.990;68;-;-;3.161;5.224;
510500 JAURU;-;4;6.559;-;4;3;6.615;13.185;
510510 JUARA;-;396;18.770;-;66;-;2.179;21.411;
510515 JUINA;-;10.539;19.509;15;86;5;6.153;36.307;
510517 JURUENA;-;37;4.769;382;-;-;599;5.787;
510520 JUSCIMEIRA;-;53;9.063;59;-;-;1.689;10.864;
510525 LUCAS DO RIO VERDE;-;222;5.537;543;8;-;222;6.532;
510530 LUCIARA;-;569;2.789;411;2;-;1.771;5.542;
510550 VILA BELA DA SANTISSIMA TRINDADE;-;582;7.273;627;-;6;4.695;13.183;
510558 MARCELANDIA;-;111;7.293;58;50;-;831;8.343;
510560 MATUPA;-;78;8.708;18;61;4;433;9.302;
510562 MIRASSOL D'OESTE;-;55;23.019;57;4;5;2.600;25.740;
510590 NOBRES;-;4.202;6.926;850;20;-;2.902;14.900;
510600 NORTELANDIA;-;2.627;6.086;403;-;14;827;9.957;
510610 NOSSA SENHORA DO LIVRAMENTO;-;620;3.378;131;17;13;6.252;10.411;
510620 NOVA BRASILANDIA;-;3;5.636;5;-;12;3.786;9.442;
510621 NOVA CANAA DO NORTE;-;616;8.157;182;-;5;4.659;13.619;
510622 NOVA MUTUM;-;5;5.248;-;-;-;156;5.409;
510623 NOVA OLIMPIA;-;162;5.345;79;32;-;732;6.350;
510625 NOVA XAVANTINA;-;39;13.012;246;34;3;4.960;18.294;
510627 NOVO HORIZONTE DO NORTE;-;4;2.766;-;-;3;1.434;4.207;
510628 NOVO SAO JOAQUIM;-;50;3.000;1.793;41;10;2.200;7.094;
510629 PARANAITA;-;1.234;8.403;242;26;-;1.099;11.004;
510630 PARANATINGA;-;880;5.555;5.307;51;6;6.363;18.162;
510637 PEDRA PRETA;-;1.385;8.043;239;164;12;1.296;11.139;
510642 PEIXOTO DE AZEVEDO;-;301;29.579;26;21;-;2.184;32.111;
510650 POCONE;-;158;19.135;939;158;36;9.203;29.629;
510670 PONTE BRANCA;-;939;1.352;208;2;-;1.178;3.679;
510675 PONTES E LACERDA;-;189;26.494;321;8;5;7.314;34.331;
510677 PORTO ALEGRE DO NORTE;-;1.165;3.410;19;-;-;5.537;10.131;
510680 PORTO DOS GAUCHOS;-;16;5.126;311;3;-;372;5.828;
510682 PORTO ESPERIDIAO;-;9;4.624;44;-;-;3.866;8.543;
510700 POXOREO;287;45;15.644;1.219;114;7;6.420;23.736;
510704 PRIMAVERA DO LESTE;-;101;11.600;161;4;-;428;12.294;
510710 SAO JOSE DOS QUATRO MARCOS;-;43;18.866;15;54;6;2.828;21.812;
510715 RESERVA DO CABACAL;-;-;2.091;40;-;-;1.045;3.176;
510718 RIBEIRAO CASCALHEIRA;-;26;4.398;-;5;11;4.032;8.472;
510720 RIO BRANCO;-;3;7.063;241;39;9;4.272;11.627;
510730 SAO JOSE DO RIO CLARO;-;214;14.362;-;19;-;1.631;16.226;
510760 RONDONOPOLIS;21.257;61.713;28.826;3.315;169;402;10.014;125.696;
510770 ROSARIO OESTE;-;260;11.029;803;20;2;7.664;19.778;
510775 SALTO DO CEU;-;8;4.961;5;25;-;2.387;7.386;
510777 SANTA TEREZINHA;-;508;4.276;27;61;35;3.861;8.768;
510780 SANTO ANTONIO DO LEVERGER;-;74;9.695;18;18;-;5.330;15.135;
510785 SAO FELIX DO ARAGUAIA;-;93;8.720;369;29;7;5.393;14.611;
510790 SINOP;-;370;35.402;271;18;30;1.669;37.760;
510792 SORRISO;-;2.413;12.836;165;9;-;342;15.765;
510795 TANGARA DA SERRA;-;2.314;32.611;853;140;41;3.364;39.323;
510800 TAPURAH;-;29;6.463;66;9;-;196;6.763;
510805 TERRA NOVA DO NORTE;-;11;16.544;13;177;2;5.465;22.212;
510810 TESOURO;-;233;2.500;12;18;-;1.726;4.489;
510820 TORIXOREU;534;403;4.093;218;51;28;2.911;8.238;
510840 VARZEA GRANDE;6.077;43.502;92.873;2.733;211;1.357;14.212;160.965;
510850 VERA;-;24;9.726;-;11;-;606;10.367;
510860 VILA RICA;-;908;3.164;3.157;8;3;2.024;9.264;
520010 ABADIANIA;-;4;7.487;-;8;12;1.818;9.329;
520013 ACREUNA;-;4;12.399;513;5;-;1.075;13.996;
520015 ADELANDIA;-;-;1.972;36;22;5;233;2.268;
520017 AGUA FRIA DE GOIAS;-;5;2.205;22;21;11;1.630;3.894;
520020 AGUA LIMPA;-;6;1.515;4;-;-;406;1.931;
520030 ALEXANIA;-;150;13.965;75;113;-;2.058;16.361;
520050 ALOANDIA;-;964;901;1;-;-;112;1.978;
520060 ALTO PARAISO DE GOIAS;-;468;2.111;327;19;2;1.157;4.084;
520080 ALVORADA DO NORTE;-;11;4.306;10;10;9;2.983;7.329;
520085 AMERICANO DO BRASIL;-;30;4.185;-;5;-;620;4.840;
520090 AMORINOPOLIS;-;14;3.077;9;57;-;1.242;4.399;
520110 ANAPOLIS;91.078;1.644;130.248;1.605;1.012;875;10.789;237.251;
520120 ANHANGUERA;-;1;819;8;-;-;12;840;
520130 ANICUNS;2.200;100;12.298;250;23;2;3.242;18.115;
520140 APARECIDA DE GOIANIA;18.720;5.984;135.203;1.569;470;58;12.825;174.829;
520150 APORE;-;16;2.964;8;4;-;1.800;4.792;
520160 ARACU;-;6;3.460;-;37;-;178;3.681;
520170 ARAGARCAS;-;2.018;10.198;42;181;17;1.115;13.571;
520180 ARAGOIANIA;-;686;3.732;-;18;-;458;4.894;
520215 ARAGUAPAZ;-;21;5.878;6;7;-;1.413;7.325;
520235 ARENOPOLIS;-;425;2.037;41;5;4;1.627;4.139;
520250 ARUANA;-;2.540;1.288;4;-;-;1.016;4.848;
520260 AURILANDIA;-;4;3.573;32;14;-;546;4.169;
520280 AVELINOPOLIS;-;-;1.958;-;-;-;329;2.287;
520310 BALIZA;-;-;646;-;412;-;2.946;4.004;
520320 BARRO ALTO;-;-;7.102;6;15;-;2.723;9.846;
520330 BELA VISTA DE GOIAS;-;8.198;4.654;31;613;7;3.588;17.091;
520340 BOM JARDIM DE GOIAS;-;7;4.521;323;173;15;2.906;7.945;
520350 BOM JESUS DE GOIAS;-;14;13.128;9;27;-;542;13.720;
520355 BONFINOPOLIS;-;48;3.087;25;5;-;134;3.299;
520360 BRAZABRANTES;-;-;2.205;-;3;-;90;2.298;
520380 BRITANIA;-;14;4.333;-;-;3;307;4.657;
520390 BURITI ALEGRE;1.458;4;6.310;21;34;32;739;8.598;
520400 CABECEIRAS;-;-;4.868;-;-;-;1.570;6.438;
520410 CACHOEIRA ALTA;2.707;36;3.707;10;213;5;1.777;8.455;
520420 CACHOEIRA DE GOIAS;-;-;829;4;317;-;254;1.404;
520425 CACHOEIRA DOURADA;1.595;7;5.706;67;484;-;611;8.470;
520430 CACU;-;57;8.744;99;407;12;1.759;11.078;
520440 CAIAPONIA;-;83;8.519;-;2.106;17;2.981;13.706;
520450 CALDAS NOVAS;8.337;437;11.531;541;178;25;2.590;23.639;
520460 CAMPESTRE DE GOIAS;-;4;1.901;12;-;-;387;2.304;
520465 CAMPINACU;-;2;1.668;19;6;1;2.780;4.476;
520470 CAMPINORTE;-;114;4.355;569;6;-;3.191;8.235;
520480 CAMPO ALEGRE DE GOIAS;-;13;3.099;121;3;-;1.254;4.490;
520490 CAMPOS BELOS;-;47;9.509;-;123;-;5.013;14.692;
520495 CAMPOS VERDES;-;58;12.993;13;24;7;3.533;16.628;
520500 CARMO DO RIO VERDE;-;70;7.799;15;-;-;2.380;10.264;
520510 CATALAO;13.842;1.378;33.833;490;222;98;4.197;54.060;
520520 CATURAI;-;7;3.737;-;3;-;344;4.091;
520530 CAVALCANTE;-;594;1.133;124;115;7;6.141;8.114;
520540 CERES;-;1.005;19.566;12;48;6;1.817;22.454;
520545 CEZARINA;-;58;2.483;38;26;-;3.057;5.662;
520552 COLINAS DO SUL;-;63;1.368;2;-;-;1.939;3.372;
520570 CORREGO DO OURO;-;39;2.063;44;61;-;1.064;3.271;
520580 CORUMBA DE GOIAS;-;656;11.891;591;29;19;6.004;19.190;
520590 CORUMBAIBA;-;12;4.715;18;27;-;724;5.496;
520620 CRISTALINA;-;688;17.701;1.154;720;218;3.932;24.413;
520630 CRISTIANOPOLIS;-;-;2.023;37;-;-;285;2.345;
520640 CRIXAS;-;3;12.197;273;8;1;9.538;22.020;
520650 CROMINIA;-;-;2.909;11;39;-;435;3.394;
520660 CUMARI;-;28;2.218;50;372;-;176;2.844;
520670 DAMIANOPOLIS;-;-;1.019;5;-;-;2.624;3.648;
520680 DAMOLANDIA;-;9;1.754;65;89;-;660;2.577;
520690 DAVINOPOLIS;-;-;1.639;11;5;-;457;2.112;
520710 DIORAMA;-;47;1.768;5;47;4;765;2.636;
520725 DOVERLANDIA;-;81;5.390;16;21;-;4.676;10.184;
520735 EDEALINA;-;-;2.951;11;1;8;1.030;4.001;
520740 EDEIA;-;85;7.963;11;17;-;819;8.895;
520750 ESTRELA DO NORTE;-;-;2.991;26;15;-;322;3.354;
520753 FAINA;-;16;3.437;14;36;-;4.291;7.794;
520760 FAZENDA NOVA;-;9;5.406;26;104;-;1.565;7.110;
520780 FIRMINOPOLIS;-;19;8.739;-;2;-;899;9.659;
520790 FLORES DE GOIAS;-;-;2.382;-;-;-;2.524;4.906;
520800 FORMOSA;-;64;50.442;474;35;15;11.397;62.427;
520810 FORMOSO;-;-;4.558;37;4;-;1.524;6.123;
520830 DIVINOPOLIS DE GOIAS;-;14;2.515;-;-;6;2.453;4.988;
520840 GOIANAPOLIS;-;18;7.715;32;23;11;2.549;10.348;
520850 GOIANDIRA;-;75;4.433;84;54;11;680;5.337;
520860 GOIANESIA;13.862;565;24.744;191;482;103;3.202;43.149;
520870 GOIANIA;669.121;24.954;198.949;1.771;7.221;721;13.816;916.553;
520880 GOIANIRA;-;992;10.030;160;86;9;1.600;12.877;
520890 GOIAS;-;253;15.527;1.287;3.483;96;6.592;27.238;
520910 GOIATUBA;3.334;565;24.940;108;186;45;3.084;32.262;
520915 GOUVELANDIA;-;117;3.078;32;37;-;870;4.134;
520920 GUAPO;-;5.993;4.458;254;40;-;940;11.685;
520940 GUARANI DE GOIAS;-;-;1.550;-;-;1;4.025;5.576;
520945 GUARINOS;-;4;1.441;311;4;6;1.933;3.699;
520960 HEITORAI;-;4;2.332;-;2;-;663;3.001;
520970 HIDROLANDIA;-;115;8.514;26;9;-;1.489;10.153;
520980 HIDROLINA;-;40;3.795;17;11;-;1.096;4.959;
520990 IACIARA;-;-;6.795;-;-;-;2.771;9.566;
520995 INDIARA;-;5.171;3.430;61;9;-;1.117;9.788;
521000 INHUMAS;10.374;101;24.597;56;541;22;2.498;38.189;
521010 IPAMERI;-;179;18.045;350;259;8;1.784;20.625;
521020 IPORA;-;96;25.377;13;224;8;3.856;29.574;
521030 ISRAELANDIA;-;-;1.530;-;-;7;1.816;3.353;
521040 ITABERAI;1.074;147;20.804;3;139;7;2.602;24.776;
521056 ITAGUARI;-;21;2.806;-;-;-;1.256;4.083;
521060 ITAGUARU;-;4;5.324;-;-;-;1.072;6.400;
521080 ITAJA;1.050;-;4.245;-;14;-;755;6.064;
521090 ITAPACI;-;576;7.515;449;365;10;3.661;12.576;
521100 ITAPIRAPUA;-;734;6.930;106;10;-;1.240;9.020;
521120 ITAPURANGA;-;105;24.242;748;70;63;5.739;30.967;
521130 ITARUMA;-;859;3.678;6;96;1;950;5.590;
521140 ITAUCU;-;9;7.969;38;121;1;513;8.651;
